id,work_code,project_name,category,state_id,district_id,constituency_id,vendor_id,sanctioned_amount,expenditure,utilization_pct,completion_pct,days_since_sanction,sanction_date,completion_date,status,latitude,longitude,executing_agency,created_at
25,MPLADS-BR-1019,Community Building Project at Patna Block 5,Community Building,1,2,2,5,800000.0,477000.0,59.6,55.5,99,2026-05-29 12:17:00.301957,,Work in Progress,24.47598002715339,80.86775770471424,Patna Public Works Dept,2026-09-05 12:17:00.301957
26,MPLADS-BR-1020,Healthcare Project at Rohtas Block 1,Healthcare,1,1,1,2,2500000.0,1103000.0,44.1,52.3,514,2025-04-09 12:17:00.301957,,Under Review,22.29997038531992,79.33267603734231,Rohtas Public Works Dept,2026-09-05 12:17:00.301957
27,MPLADS-BR-1021,Healthcare Project at Patna Block 2,Healthcare,1,2,2,2,3500000.0,3039000.0,86.8,94.8,85,2026-06-12 12:17:00.311459,,Work in Progress,20.84517379228587,81.91884296776848,Patna Public Works Dept,2026-09-05 12:17:00.311459
28,MPLADS-MH-1022,Water Supply Project at Pune Block 3,Water Supply,4,6,5,4,7500000.0,3428000.0,45.7,48.8,173,2026-03-16 12:17:00.311459,,Work in Progress,25.852887348685343,84.02882841183931,Pune Public Works Dept,2026-09-05 12:17:00.311459
29,MPLADS-GJ-1023,Community Building Project at Surat Block 4,Community Building,2,4,,1,2500000.0,1671000.0,66.8,76.8,45,2026-07-22 12:17:00.311459,,Work in Progress,23.60073288592231,84.93410166095127,Surat Public Works Dept,2026-09-05 12:17:00.311459
30,MPLADS-BR-1024,Healthcare Project at Rohtas Block 5,Healthcare,1,1,1,4,1200000.0,596000.0,49.6,44.7,429,2025-07-03 12:17:00.327968,,Under Review,23.90273150197121,84.98329087105022,Rohtas Public Works Dept,2026-09-05 12:17:00.327968
31,MPLADS-GJ-1025,Healthcare Project at Banaskantha Block 1,Healthcare,2,3,3,6,3500000.0,1979000.0,56.5,53.9,333,2025-10-07 12:17:00.327968,,Work in Progress,27.662809362791418,86.93179807344144,Banaskantha Public Works Dept,2026-09-05 12:17:00.327968
32,MPLADS-BR-1026,Infrastructure Project at Patna Block 2,Infrastructure,1,2,2,1,5000000.0,4134000.0,82.7,90.5,191,2026-02-26 12:17:00.327968,,Work in Progress,26.00900692699461,72.95176256632149,Patna Public Works Dept,2026-09-05 12:17:00.327968
33,MPLADS-BR-1027,Roads Project at Rohtas Block 3,Roads,1,1,1,1,800000.0,715000.0,89.4,97.7,282,2025-11-27 12:17:00.344754,,Work in Progress,24.800777340955218,82.16066704870094,Rohtas Public Works Dept,2026-09-05 12:17:00.344754
34,MPLADS-RJ-1028,Roads Project at Jaipur Block 4,Roads,3,5,4,4,800000.0,607000.0,75.9,81.0,351,2025-09-19 12:17:00.344754,,Under Review,25.293247999332927,80.52188116527694,Jaipur Public Works Dept,2026-09-05 12:17:00.344754
35,MPLADS-BR-1029,Energy Project at Patna Block 5,Energy,1,2,2,6,3500000.0,1666000.0,47.6,49.5,132,2026-04-26 12:17:00.360018,,Work in Progress,22.469976930410223,76.81104022445062,Patna Public Works Dept,2026-09-05 12:17:00.361216
36,MPLADS-BR-1030,Roads Project at Rohtas Block 1,Roads,1,1,1,2,1200000.0,832000.0,69.3,66.7,586,2025-01-27 12:17:00.361602,,Work in Progress,27.4727490861503,85.22487618792795,Rohtas Public Works Dept,2026-09-05 12:17:00.361602
37,MPLADS-MH-1031,Energy Project at Pune Block 2,Energy,4,6,5,6,5000000.0,4853000.0,97.1,93.6,167,2026-03-22 12:17:00.361602,,Completed,24.278631471557933,82.05116173531749,Pune Public Works Dept,2026-09-05 12:17:00.361602
38,MPLADS-GJ-1032,Infrastructure Project at Banaskantha Block 3,Infrastructure,2,3,3,2,800000.0,664000.0,83.1,87.6,300,2025-11-09 12:17:00.361602,,Under Review,22.25155087728705,81.11196442275033,Banaskantha Public Works Dept,2026-09-05 12:17:00.361602
39,MPLADS-RJ-1033,Education Project at Jaipur Block 4,Education,3,5,4,1,2500000.0,2313000.0,92.5,99.1,298,2025-11-11 12:17:00.378069,,Completed,20.829157894930596,78.41127901119953,Jaipur Public Works Dept,2026-09-05 12:17:00.378069
40,MPLADS-BR-1034,Water Supply Project at Patna Block 5,Water Supply,1,2,2,4,3500000.0,2520000.0,72.0,69.2,66,2026-07-01 12:17:00.378069,,Work in Progress,24.531164231720496,73.7669208207811,Patna Public Works Dept,2026-09-05 12:17:00.378069
41,MPLADS-GJ-1035,Roads Project at Banaskantha Block 1,Roads,2,3,3,2,5000000.0,2429000.0,48.6,44.2,396,2025-08-05 12:17:00.378069,,Work in Progress,20.430447979533977,77.53330757837611,Banaskantha Public Works Dept,2026-09-05 12:17:00.378069
42,MPLADS-BR-1036,Water Supply Project at Patna Block 2,Water Supply,1,2,2,3,1200000.0,944000.0,78.7,76.0,272,2025-12-07 12:17:00.394225,,Under Review,26.262918310784396,85.27360705162003,Patna Public Works Dept,2026-09-05 12:17:00.395237
43,MPLADS-BR-1037,Healthcare Project at Patna Block 3,Healthcare,1,2,2,1,1200000.0,1093000.0,91.1,96.2,284,2025-11-25 12:17:00.395624,,Completed,21.516949241003836,85.87486069909903,Patna Public Works Dept,2026-09-05 12:17:00.395624
44,MPLADS-GJ-1038,Community Building Project at Banaskantha Block 4,Community Building,2,3,3,1,7500000.0,3470000.0,46.3,45.8,263,2025-12-16 12:17:00.402180,,Work in Progress,26.882886685568476,75.4142623914304,Banaskantha Public Works Dept,2026-09-05 12:17:00.402180
45,MPLADS-BR-1039,Infrastructure Project at Patna Block 5,Infrastructure,1,2,2,3,7500000.0,3840000.0,51.2,53.8,579,2025-02-03 12:17:00.402180,,Work in Progress,22.30096418208173,73.13436924447602,Patna Public Works Dept,2026-09-05 12:17:00.402180
46,MPLADS-GJ-1040,Infrastructure Project at Banaskantha Block 1,Infrastructure,2,3,3,3,800000.0,727000.0,90.9,92.4,351,2025-09-19 12:17:00.411837,,Completed,21.510685747762462,86.44176130484718,Banaskantha Public Works Dept,2026-09-05 12:17:00.411837
47,MPLADS-GJ-1041,Roads Project at Surat Block 2,Roads,2,4,,5,5000000.0,2335000.0,46.7,53.8,231,2026-01-17 12:17:00.411837,,Work in Progress,21.60162231856814,72.76135935232715,Surat Public Works Dept,2026-09-05 12:17:00.411837
48,MPLADS-GJ-1042,Education Project at Banaskantha Block 3,Education,2,3,3,3,800000.0,760000.0,95.0,97.6,448,2025-06-14 12:17:00.426620,,Completed,25.022927738576634,81.9844733963566,Banaskantha Public Works Dept,2026-09-05 12:17:00.426620
49,MPLADS-GJ-1043,Education Project at Banaskantha Block 4,Education,2,3,3,2,7500000.0,4286000.0,57.1,54.8,338,2025-10-02 12:17:00.427641,,Work in Progress,21.615536734622165,82.00744856977029,Banaskantha Public Works Dept,2026-09-05 12:17:00.427641
50,MPLADS-GJ-1044,Roads Project at Surat Block 5,Roads,2,4,,2,800000.0,461000.0,57.6,59.3,248,2025-12-31 12:17:00.427641,,Under Review,23.496116384919695,80.74177323981566,Surat Public Works Dept,2026-09-05 12:17:00.427641
51,MPLADS-RJ-1045,Education Project at Jaipur Block 1,Education,3,5,4,1,7500000.0,3738000.0,49.8,59.1,270,2025-12-09 12:17:00.427641,,Work in Progress,22.341912599444917,81.99142216094448,Jaipur Public Works Dept,2026-09-05 12:17:00.427641
