work_code,project_name,category,state,district,constituency,mp_name,vendor_name,gstin,pan,sanctioned_amount,expenditure,utilization_pct,completion_pct,status,latitude,longitude,executing_agency,sanction_date,composite_score,risk_level,price_score,iqr_score,benford_score,hhi_score,photo_score
MPLADS-BR-1024,Healthcare Project at Rohtas Block 5,Healthcare,Bihar,Rohtas,Sasaram (SC),Shri Manoj Kumar,Jaipur Lights Co.,08AABCJ1122D1Z9,AABCJ1122D,1200000.0,596000.0,49.6,44.7,Under Review,23.90273150197121,84.98329087105022,Rohtas Public Works Dept,2025-07-03 12:17:00.327968,60.0,MEDIUM,89.4,23.8,100.0,70.7,15.8
MPLADS-BR-1026,Infrastructure Project at Patna Block 2,Infrastructure,Bihar,Patna,Patna Sahib,Shri Ravi Shankar Prasad,Local Contractor Ltd.,10AAACL1234F1Z1,AAACL1234F,5000000.0,4134000.0,82.7,90.5,Work in Progress,26.00900692699461,72.95176256632149,Patna Public Works Dept,2026-02-26 12:17:00.327968,38.0,LOW,0.5,41.2,100.0,62.8,27.6
MPLADS-BR-1027,Roads Project at Rohtas Block 3,Roads,Bihar,Rohtas,Sasaram (SC),Shri Manoj Kumar,Local Contractor Ltd.,10AAACL1234F1Z1,AAACL1234F,800000.0,715000.0,89.4,97.7,Work in Progress,24.800777340955218,82.16066704870094,Rohtas Public Works Dept,2025-11-27 12:17:00.344754,35.0,LOW,6.7,25.4,99.1,70.7,14.2
MPLADS-BR-1029,Energy Project at Patna Block 5,Energy,Bihar,Patna,Patna Sahib,Shri Ravi Shankar Prasad,Apex Civil Infra Ltd.,27AACCA9900L1Z8,AACCA9900L,3500000.0,1666000.0,47.6,49.5,Work in Progress,22.469976930410223,76.81104022445062,Patna Public Works Dept,2026-04-26 12:17:00.360018,35.0,LOW,6.8,28.2,100.0,62.8,12.5
MPLADS-BR-1030,Roads Project at Rohtas Block 1,Roads,Bihar,Rohtas,Sasaram (SC),Shri Manoj Kumar,Sharma Contractors,24AABCS5678K1Z5,AABCS5678K,1200000.0,832000.0,69.3,66.7,Work in Progress,27.4727490861503,85.22487618792795,Rohtas Public Works Dept,2025-01-27 12:17:00.361602,36.0,LOW,0.3,26.9,100.0,70.7,22.9
MPLADS-BR-1034,Water Supply Project at Patna Block 5,Water Supply,Bihar,Patna,Patna Sahib,Shri Ravi Shankar Prasad,Jaipur Lights Co.,08AABCJ1122D1Z9,AABCJ1122D,3500000.0,2520000.0,72.0,69.2,Work in Progress,24.531164231720496,73.7669208207811,Patna Public Works Dept,2026-07-01 12:17:00.378069,41.0,LOW,10.5,32.7,100.0,62.8,34.2
MPLADS-BR-1036,Water Supply Project at Patna Block 2,Water Supply,Bihar,Patna,Patna Sahib,Shri Ravi Shankar Prasad,Singh Builders,10AABCS9988M1Z2,AABCS9988M,1200000.0,944000.0,78.7,76.0,Under Review,26.262918310784396,85.27360705162003,Patna Public Works Dept,2025-12-07 12:17:00.394225,62.0,MEDIUM,89.4,24.4,100.0,62.8,31.7
MPLADS-BR-1037,Healthcare Project at Patna Block 3,Healthcare,Bihar,Patna,Patna Sahib,Shri Ravi Shankar Prasad,Local Contractor Ltd.,10AAACL1234F1Z1,AAACL1234F,1200000.0,1093000.0,91.1,96.2,Completed,21.516949241003836,85.87486069909903,Patna Public Works Dept,2025-11-25 12:17:00.395624,34.0,LOW,0.0,25.2,100.0,62.8,24.4
MPLADS-BR-1039,Infrastructure Project at Patna Block 5,Infrastructure,Bihar,Patna,Patna Sahib,Shri Ravi Shankar Prasad,Singh Builders,10AABCS9988M1Z2,AABCS9988M,7500000.0,3840000.0,51.2,53.8,Work in Progress,22.30096418208173,73.13436924447602,Patna Public Works Dept,2025-02-03 12:17:00.402180,39.0,LOW,6.7,39.6,100.0,62.8,22.3
MPLADS-GJ-1005,Roads Project at Banaskantha Block 1,Roads,Gujarat,Banaskantha,Banaskantha,Smt. Geniben Thakor,Apex Civil Infra Ltd.,27AACCA9900L1Z8,AACCA9900L,2500000.0,2170000.0,86.8,86.2,Work in Progress,23.729456549407555,73.95990982651281,Banaskantha Public Works Dept,2025-08-01 12:17:00.227553,38.0,LOW,6.8,38.6,100.0,71.9,12.8
MPLADS-GJ-1007,Water Supply Project at Surat Block 3,Water Supply,Gujarat,Surat,,,Singh Builders,10AABCS9988M1Z2,AABCS9988M,2500000.0,1236000.0,49.4,53.6,Work in Progress,21.755105543094754,76.07796954853178,Surat Public Works Dept,2026-02-12 12:17:00.227889,39.0,LOW,4.7,28.7,100.0,69.0,32.7
MPLADS-GJ-1010,Education Project at Banaskantha Block 1,Education,Gujarat,Banaskantha,Banaskantha,Smt. Geniben Thakor,Reliance Infra,27AABCR3344P1Z3,AABCR3344P,2500000.0,1096000.0,43.8,52.6,Work in Progress,27.023304249134085,76.78870042389732,Banaskantha Public Works Dept,2025-04-24 12:17:00.244812,39.0,LOW,10.5,26.8,100.0,71.9,23.8
MPLADS-GJ-1023,Community Building Project at Surat Block 4,Community Building,Gujarat,Surat,,,Local Contractor Ltd.,10AAACL1234F1Z1,AAACL1234F,2500000.0,1671000.0,66.8,76.8,Work in Progress,23.60073288592231,84.93410166095127,Surat Public Works Dept,2026-07-22 12:17:00.311459,39.0,LOW,12.0,36.9,100.0,69.0,11.8
MPLADS-GJ-1025,Healthcare Project at Banaskantha Block 1,Healthcare,Gujarat,Banaskantha,Banaskantha,Smt. Geniben Thakor,Apex Civil Infra Ltd.,27AACCA9900L1Z8,AACCA9900L,3500000.0,1979000.0,56.5,53.9,Work in Progress,27.662809362791418,86.93179807344144,Banaskantha Public Works Dept,2025-10-07 12:17:00.327968,40.0,LOW,0.0,36.5,100.0,71.9,35.1
MPLADS-GJ-1032,Infrastructure Project at Banaskantha Block 3,Infrastructure,Gujarat,Banaskantha,Banaskantha,Smt. Geniben Thakor,Sharma Contractors,24AABCS5678K1Z5,AABCS5678K,800000.0,664000.0,83.1,87.6,Under Review,22.25155087728705,81.11196442275033,Banaskantha Public Works Dept,2025-11-09 12:17:00.361602,60.0,MEDIUM,89.4,22.1,100.0,71.9,17.1
MPLADS-GJ-1035,Roads Project at Banaskantha Block 1,Roads,Gujarat,Banaskantha,Banaskantha,Smt. Geniben Thakor,Sharma Contractors,24AABCS5678K1Z5,AABCS5678K,5000000.0,2429000.0,48.6,44.2,Work in Progress,20.430447979533977,77.53330757837611,Banaskantha Public Works Dept,2025-08-05 12:17:00.378069,46.0,LOW,12.0,41.4,100.0,71.9,44.0
MPLADS-GJ-1038,Community Building Project at Banaskantha Block 4,Community Building,Gujarat,Banaskantha,Banaskantha,Smt. Geniben Thakor,Local Contractor Ltd.,10AAACL1234F1Z1,AAACL1234F,7500000.0,3470000.0,46.3,45.8,Work in Progress,26.882886685568476,75.4142623914304,Banaskantha Public Works Dept,2025-12-16 12:17:00.402180,41.0,LOW,0.5,50.0,100.0,71.9,26.1
MPLADS-GJ-1040,Infrastructure Project at Banaskantha Block 1,Infrastructure,Gujarat,Banaskantha,Banaskantha,Smt. Geniben Thakor,Singh Builders,10AABCS9988M1Z2,AABCS9988M,800000.0,727000.0,90.9,92.4,Completed,21.510685747762462,86.44176130484718,Banaskantha Public Works Dept,2025-09-19 12:17:00.411837,60.0,MEDIUM,89.4,22.8,100.0,71.9,13.8
MPLADS-GJ-1041,Roads Project at Surat Block 2,Roads,Gujarat,Surat,,,Reliance Infra,27AABCR3344P1Z3,AABCR3344P,5000000.0,2335000.0,46.7,53.8,Work in Progress,21.60162231856814,72.76135935232715,Surat Public Works Dept,2026-01-17 12:17:00.411837,43.0,LOW,6.8,49.4,100.0,69.0,28.2
MPLADS-GJ-1042,Education Project at Banaskantha Block 3,Education,Gujarat,Banaskantha,Banaskantha,Smt. Geniben Thakor,Singh Builders,10AABCS9988M1Z2,AABCS9988M,800000.0,760000.0,95.0,97.6,Completed,25.022927738576634,81.9844733963566,Banaskantha Public Works Dept,2025-06-14 12:17:00.426620,39.0,LOW,0.3,23.2,100.0,71.9,41.5
MPLADS-GJ-1043,Education Project at Banaskantha Block 4,Education,Gujarat,Banaskantha,Banaskantha,Smt. Geniben Thakor,Sharma Contractors,24AABCS5678K1Z5,AABCS5678K,7500000.0,4286000.0,57.1,54.8,Work in Progress,21.615536734622165,82.00744856977029,Banaskantha Public Works Dept,2025-10-02 12:17:00.427641,44.0,LOW,4.7,50.0,100.0,71.9,36.2
MPLADS-GJ-1044,Roads Project at Surat Block 5,Roads,Gujarat,Surat,,,Sharma Contractors,24AABCS5678K1Z5,AABCS5678K,800000.0,461000.0,57.6,59.3,Under Review,23.496116384919695,80.74177323981566,Surat Public Works Dept,2025-12-31 12:17:00.427641,60.0,MEDIUM,89.4,14.0,100.0,69.0,26.3
MPLADS-MH-1001,Infrastructure Project at Pune Block 2,Infrastructure,Maharashtra,Pune,Pune,Shri Murlidhar Mohol,Sharma Contractors,24AABCS5678K1Z5,AABCS5678K,800000.0,664000.0,83.0,79.3,Work in Progress,21.8633648313757,83.07342109104378,Pune Public Works Dept,2025-05-31 12:17:00.201944,38.0,LOW,0.0,21.3,100.0,68.1,41.2
MPLADS-MH-1015,Energy Project at Pune Block 1,Energy,Maharashtra,Pune,Pune,Shri Murlidhar Mohol,Sharma Contractors,24AABCS5678K1Z5,AABCS5678K,7500000.0,5208000.0,69.4,72.4,Work in Progress,21.307430221542116,83.46141092111975,Pune Public Works Dept,2026-08-06 12:17:00.279331,43.0,LOW,6.7,41.6,100.0,68.1,37.3
MPLADS-MH-1022,Water Supply Project at Pune Block 3,Water Supply,Maharashtra,Pune,Pune,Shri Murlidhar Mohol,Jaipur Lights Co.,08AABCJ1122D1Z9,AABCJ1122D,7500000.0,3428000.0,45.7,48.8,Work in Progress,25.852887348685343,84.02882841183931,Pune Public Works Dept,2026-03-16 12:17:00.311459,38.0,LOW,10.5,33.6,100.0,68.1,16.7
MPLADS-MH-1031,Energy Project at Pune Block 2,Energy,Maharashtra,Pune,Pune,Shri Murlidhar Mohol,Apex Civil Infra Ltd.,27AACCA9900L1Z8,AACCA9900L,5000000.0,4853000.0,97.1,93.6,Completed,24.278631471557933,82.05116173531749,Pune Public Works Dept,2026-03-22 12:17:00.361602,43.0,LOW,4.7,40.0,100.0,68.1,42.6
MPLADS-RJ-1003,Energy Project at Jaipur Block 4,Energy,Rajasthan,Jaipur,Jaipur,Smt. Manju Sharma,Sharma Contractors,24AABCS5678K1Z5,AABCS5678K,800000.0,672000.0,84.0,84.1,Work in Progress,25.61530122040699,77.16973269611807,Jaipur Public Works Dept,2026-05-04 12:17:00.211290,41.0,LOW,6.7,21.7,100.0,71.3,43.5
MPLADS-RJ-1004,"Solar Street Light Installation, Jaipur Ward 4",Energy,Rajasthan,Jaipur,Jaipur,Smt. Manju Sharma,Jaipur Lights Co.,08AABCJ1122D1Z9,AABCJ1122D,2500000.0,2300000.0,92.0,92.7,Completed,26.9124,75.7873,Jaipur Public Works Dept,2025-08-04 12:17:00.211290,73.0,MEDIUM,79.1,35.7,100.0,71.3,84.0
MPLADS-RJ-1006,Community Building Project at Jaipur Block 2,Community Building,Rajasthan,Jaipur,Jaipur,Smt. Manju Sharma,Apex Civil Infra Ltd.,27AACCA9900L1Z8,AACCA9900L,7500000.0,3303000.0,44.0,40.5,Work in Progress,21.90039637764722,76.41188065767139,Jaipur Public Works Dept,2025-10-26 12:17:00.227889,38.0,LOW,0.3,44.2,100.0,71.3,18.1
MPLADS-RJ-1008,"High Mast Solar Lighting, Jaipur Ward 4 Extension",Energy,Rajasthan,Jaipur,Jaipur,Smt. Manju Sharma,Jaipur Lights Co.,08AABCJ1122D1Z9,AABCJ1122D,2200000.0,2090000.0,95.0,98.0,Completed,26.913,75.7878,Jaipur Public Works Dept,2025-11-29 12:17:00.239446,73.0,MEDIUM,80.5,33.9,100.0,71.3,84.0
MPLADS-RJ-1012,Education Project at Jaipur Block 3,Education,Rajasthan,Jaipur,Jaipur,Smt. Manju Sharma,Local Contractor Ltd.,10AAACL1234F1Z1,AAACL1234F,800000.0,671000.0,83.8,84.6,Under Review,21.307446422851264,74.4837318256645,Jaipur Public Works Dept,2025-04-14 12:17:00.259877,63.0,MEDIUM,89.4,21.7,100.0,71.3,30.9
MPLADS-RJ-1013,Energy Project at Jaipur Block 4,Energy,Rajasthan,Jaipur,Jaipur,Smt. Manju Sharma,Local Contractor Ltd.,10AAACL1234F1Z1,AAACL1234F,5000000.0,4496000.0,89.9,96.5,Work in Progress,25.474238941026496,73.80682097045693,Jaipur Public Works Dept,2025-08-23 12:17:00.261396,43.0,LOW,0.0,50.0,100.0,71.3,36.3
MPLADS-RJ-1016,Energy Project at Jaipur Block 2,Energy,Rajasthan,Jaipur,Jaipur,Smt. Manju Sharma,Singh Builders,10AABCS9988M1Z2,AABCS9988M,3500000.0,1440000.0,41.1,49.3,Under Review,27.041902834803153,84.49181638748158,Jaipur Public Works Dept,2026-05-18 12:17:00.279331,61.0,MEDIUM,89.4,28.3,100.0,71.3,12.0
MPLADS-RJ-1028,Roads Project at Jaipur Block 4,Roads,Rajasthan,Jaipur,Jaipur,Smt. Manju Sharma,Jaipur Lights Co.,08AABCJ1122D1Z9,AABCJ1122D,800000.0,607000.0,75.9,81.0,Under Review,25.293247999332927,80.52188116527694,Jaipur Public Works Dept,2025-09-19 12:17:00.344754,61.0,MEDIUM,89.4,21.2,100.0,71.3,19.1
MPLADS-RJ-1033,Education Project at Jaipur Block 4,Education,Rajasthan,Jaipur,Jaipur,Smt. Manju Sharma,Local Contractor Ltd.,10AAACL1234F1Z1,AAACL1234F,2500000.0,2313000.0,92.5,99.1,Completed,20.829157894930596,78.41127901119953,Jaipur Public Works Dept,2025-11-11 12:17:00.378069,36.0,LOW,2.2,35.8,100.0,71.3,10.1
MPLADS-RJ-1045,Education Project at Jaipur Block 1,Education,Rajasthan,Jaipur,Jaipur,Smt. Manju Sharma,Local Contractor Ltd.,10AAACL1234F1Z1,AAACL1234F,7500000.0,3738000.0,49.8,59.1,Work in Progress,22.341912599444917,81.99142216094448,Jaipur Public Works Dept,2025-12-09 12:17:00.427641,39.0,LOW,2.2,48.0,100.0,71.3,13.3
RD-24-005,"Road Repair Work, Pune",Roads,Maharashtra,Pune,Pune,Shri Murlidhar Mohol,Reliance Infra,27AABCR3344P1Z3,AABCR3344P,4500000.0,1500000.0,33.3,30.0,Just Sanctioned,18.5204,73.8567,Pune Municipal Corporation,2026-06-07 12:17:00.201944,34.0,LOW,2.2,25.0,100.0,68.1,15.0
SC-24-420,"School Building Construction, Patna",Education,Bihar,Patna,Patna Sahib,Shri Ravi Shankar Prasad,Singh Builders,10AABCS9988M1Z2,AABCS9988M,6000000.0,5800000.0,96.6,95.0,Under Audit,25.5941,85.1376,Bihar State Educational Infrastructure Dev Corp,2025-03-14 12:17:00.194821,62.0,MEDIUM,52.7,49.9,100.0,62.8,60.0
SL-24-115,"Solar Street Light Installation, Jaipur",Energy,Rajasthan,Jaipur,Jaipur,Smt. Manju Sharma,Jaipur Lights Co.,08AABCJ1122D1Z9,AABCJ1122D,1500000.0,1480000.0,98.6,90.0,Completed,26.9124,75.7873,Jaipur Nagar Nigam,2026-02-07 12:17:00.177886,52.0,MEDIUM,39.3,28.6,100.0,71.3,45.0
WD-24-301,"Construction of Community Hall, Banaskantha",Infrastructure,Gujarat,Banaskantha,Banaskantha,Smt. Geniben Thakor,Sharma Contractors,24AABCS5678K1Z5,AABCS5678K,2500000.0,2150000.0,86.0,80.0,Work in Progress,24.1724,72.4346,Banaskantha District Panchayat,2025-08-21 12:17:00.176720,70.0,MEDIUM,61.9,38.4,100.0,71.9,91.0
WD-24-302,"LED Street Light Installation, Banaskantha",Energy,Gujarat,Banaskantha,Banaskantha,Smt. Geniben Thakor,Sharma Contractors,24AABCS5678K1Z5,AABCS5678K,1850000.0,1850000.0,100.0,100.0,Completed,24.173,72.435,Banaskantha District Panchayat,2025-09-05 12:17:00.177886,81.0,HIGH,100.0,35.1,100.0,71.9,91.0
